Unload Time: 0, Trucker: Cindy 'Truckin' Troubadour' Reed, Company: Big Sky Express, ID Num: C1, Price of Crate: 266, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 430, Trucker: Patrick 'Road Rambler' Stewart, Company: Thunderstruck Transports, ID Num: C1, Price of Crate: 457, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 430, Trucker: Wendy 'High Beam' Turner, Company: High Gear Transport, ID Num: C0, Price of Crate: 250, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 430, Trucker: Carlos 'Cargo Commander' Foster, Company: Windy City Carriers, ID Num: C1, Price of Crate: 367, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 430, Trucker: Dana 'Mile Marker' Sanchez, Company: Cargo Masters Inc., ID Num: C0, Price of Crate: 83, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 440, Trucker: Michael 'Road Rescuer' Murphy, Company: Highway Haulers Co., ID Num: C3, Price of Crate: 173, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 440, Trucker: Patrick 'Road Rambler' Stewart, Company: Thunderstruck Transports, ID Num: C0, Price of Crate: 253, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 440, Trucker: Lauren 'Cargo Queen' Turner, Company: Yellow Ribbon Logistics, ID Num: C0, Price of Crate: 425, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 440, Trucker: Scott 'Freeway Fury' Phillips, Company: Starlight Freight Services, ID Num: C1, Price of Crate: 413, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 440, Trucker: Carlos 'Cargo Commander' Foster, Company: Windy City Carriers, ID Num: C0, Price of Crate: 286, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 450, Trucker: Michael 'Road Rescuer' Murphy, Company: Highway Haulers Co., ID Num: C2, Price of Crate: 70, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 450, Trucker: Wendy 'High Beam' Turner, Company: American Freightways, ID Num: C0, Price of Crate: 421, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 450, Trucker: Scott 'Freeway Fury' Phillips, Company: Starlight Freight Services, ID Num: C0, Price of Crate: 280, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 450, Trucker: Angela 'Mud Flap Maven' Thomas, Company: Interstate Logistics, ID Num: C0, Price of Crate: 423, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 450, Trucker: Rachel 'Gearshift Gladiator' Davis, Company: Swift Roadways Ltd., ID Num: C4, Price of Crate: 424, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 460, Trucker: Michael 'Road Rescuer' Murphy, Company: Highway Haulers Co., ID Num: C1, Price of Crate: 323, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 460, Trucker: Angela 'Road Rebel' Adams, Company: High Gear Transport, ID Num: C0, Price of Crate: 378, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 460, Trucker: Brad 'Highway Harmony' Lewis, Company: Speedy Freight Express, ID Num: C2, Price of Crate: 235, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 460, Trucker: Lisa 'Freight Fiend' Foster, Company: Thunderstruck Transports, ID Num: C4, Price of Crate: 346, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 460, Trucker: Rachel 'Gearshift Gladiator' Davis, Company: Swift Roadways Ltd., ID Num: C3, Price of Crate: 359, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 470, Trucker: Michael 'Road Rescuer' Murphy, Company: Highway Haulers Co., ID Num: C0, Price of Crate: 361, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 470, Trucker: Angela 'Road Rebel' Adams, Company: American Freightways, ID Num: C1, Price of Crate: 201, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 470, Trucker: Brad 'Highway Harmony' Lewis, Company: Speedy Freight Express, ID Num: C1, Price of Crate: 346, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 470, Trucker: Frank 'Big Load' Williams, Company: Rocky Mountain Carriers, ID Num: C1, Price of Crate: 399, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 470, Trucker: Mike 'Big Rig' Johnson, Company: Blue Horizon Transports, ID Num: C1, Price of Crate: 342, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 470, Trucker: Lisa 'Freight Fiend' Foster, Company: Thunderstruck Transports, ID Num: C3, Price of Crate: 355, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 470, Trucker: Rachel 'Gearshift Gladiator' Davis, Company: Swift Roadways Ltd., ID Num: C2, Price of Crate: 215, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 470, Trucker: Rachel 'Rapid Relay' Mitchell, Company: Yellow Ribbon Logistics, ID Num: C4, Price of Crate: 430, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 480, Trucker: Amanda 'Storm Chaser' White, Company: Patriot Road Warriors, ID Num: C4, Price of Crate: 445, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 480, Trucker: Angela 'Road Rebel' Adams, Company: American Freightways, ID Num: C0, Price of Crate: 444, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 480, Trucker: Brad 'Highway Harmony' Lewis, Company: Speedy Freight Express, ID Num: C0, Price of Crate: 136, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 480, Trucker: Frank 'Big Load' Williams, Company: Rocky Mountain Carriers, ID Num: C0, Price of Crate: 173, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 480, Trucker: Mike 'Big Rig' Johnson, Company: Blue Horizon Transports, ID Num: C0, Price of Crate: 68, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 480, Trucker: Lisa 'Freight Fiend' Foster, Company: Thunderstruck Transports, ID Num: C2, Price of Crate: 167, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 480, Trucker: Rachel 'Gearshift Gladiator' Davis, Company: Swift Roadways Ltd., ID Num: C1, Price of Crate: 443, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 480, Trucker: Rachel 'Rapid Relay' Mitchell, Company: Yellow Ribbon Logistics, ID Num: C3, Price of Crate: 420, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 480, Trucker: Jason 'Diesel Dynamo' Moore, Company: Yellow Ribbon Logistics, ID Num: C0, Price of Crate: 211, Scenario: A crate was unloaded, and the truck was sent off.

Trucks that were not unloaded before closing:
Eric 'Trucker Trekker' Jenkins's truck.
Amanda 'Storm Chaser' White's truck.
Lisa 'Freight Fiend' Foster's truck.
Rachel 'Gearshift Gladiator' Davis's truck.
Rachel 'Rapid Relay' Mitchell's truck.

Total number of docks: 10

Longest line at an entrance: 9

Total number of trucks: 122

Number of crates unloaded: 345

Total value of crates unloaded: $100038

Average value of the crates: $290

Average value of the trucks: $820

Total time in use: 
Dock 1: 370
Dock 2: 360
Dock 3: 360
Dock 4: 360
Dock 5: 340
Dock 6: 330
Dock 7: 350
Dock 8: 350
Dock 9: 290
Dock 10: 340

Total time not in use: 
Dock 1: 110
Dock 2: 120
Dock 3: 120
Dock 4: 120
Dock 5: 140
Dock 6: 150
Dock 7: 130
Dock 8: 130
Dock 9: 190
Dock 10: 140

Cost for operating each dock: 
Dock 1: $3700
Dock 2: $3600
Dock 3: $3600
Dock 4: $3600
Dock 5: $3400
Dock 6: $3300
Dock 7: $3500
Dock 8: $3500
Dock 9: $2900
Dock 10: $3400

Revenue for each dock: 
Dock 1: $10126
Dock 2: $11087
Dock 3: $9733
Dock 4: $11792
Dock 5: $9980
Dock 6: $8905
Dock 7: $9589
Dock 8: $10720
Dock 9: $9303
Dock 10: $9237

Warehouse revenue: $65538
